,description,query
54,Show films with ratings ranked in descending order.,"SELECT film_name, rating, RANK() OVER (ORDER BY rating DESC) AS rating_rank FROM films;"
55,Display films with release years converted to Julian day numbers.,"SELECT film_name, julianday(release_year) AS julian_release_year FROM films;"
56,Find films with the longest review length.,SELECT * FROM films WHERE LENGTH(review) = (SELECT MAX(LENGTH(review)) FROM films);
57,Retrieve films with release years between the earliest and latest years in the database.,SELECT * FROM films WHERE release_year BETWEEN (SELECT MIN(release_year) FROM films) AND (SELECT MAX(release_year) FROM films);
58,List films with release years matching those of the highest-rated films.,SELECT * FROM films WHERE release_year IN (SELECT release_year FROM films WHERE rating = (SELECT MAX(rating) FROM films));
59,Show films with ratings within 1 point of the maximum rating.,SELECT * FROM films WHERE rating >= (SELECT MAX(rating) FROM films) - 1;
60,Retrieve films with ratings at least 1 point lower than the maximum rating.,SELECT * FROM films WHERE rating < (SELECT MAX(rating) FROM films) - 1;
61,Find films with release years matching those of the lowest-rated films.,SELECT * FROM films WHERE release_year IN (SELECT release_year FROM films WHERE rating = (SELECT MIN(rating) FROM films));
62,Display films with release years not found in the list of distinct release years.,SELECT * FROM films WHERE release_year NOT IN (SELECT DISTINCT release_year FROM films);
63,Fetch films with reviews containing words longer than the average word length in reviews.,"SELECT * FROM films WHERE LENGTH(SUBSTR(review, INSTR(review || ' ', ' ') + 1)) > (SELECT AVG(LENGTH(SUBSTR(review, INSTR(review || ' ', ' ') + 1))) FROM films);"
64,List films with release years that are prime numbers.,"SELECT * FROM films WHERE release_year IN (2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97);"
65,Retrieve films with release years that are leap years.,SELECT * FROM films WHERE release_year % 4 = 0 AND (release_year % 100 != 0 OR release_year % 400 = 0);
66,Find films released in the same year as other films.,"SELECT f1.film_name AS film1, f2.film_name AS film2, f1.release_year FROM films f1 JOIN films f2 ON f1.release_year = f2.release_year AND f1.id != f2.id;"
72,Retrieve films with similar ratings released in the same year.,"SELECT f1.film_name AS film1, f2.film_name AS film2, f1.release_year FROM films f1 JOIN films f2 ON f1.release_year = f2.release_year AND f1.rating = f2.rating AND f1.id != f2.id;"
81,Find films with the rating increased by 1.,"SELECT film_name, rating + 1 AS increased_rating FROM films;"
82,Retrieve films with a review or 'No review available' if the review is null.,"SELECT film_name, coalesce(review, 'No review available') AS review_content FROM films;"
85,Display films with ratings formatted to two decimal places.,"SELECT film_name, format(rating, '0.00') AS formatted_rating FROM films;"
86,Retrieve films with 'The' in the title using a wildcard search.,"SELECT * FROM films WHERE glob(film_name, '*The*');"
87,Find films where the release year is represented in hexadecimal.,"SELECT film_name, hex(release_year) AS hex_release_year FROM films;"
88,"Retrieve films with the rating if not null, otherwise display 'N/A'.","SELECT film_name, ifnull(rating, 'N/A') AS rating FROM films;"
89,Identify films with a rating greater than 4 as 'High' or 'Low'.,"SELECT film_name, iif(rating > 4, 'High', 'Low') AS rating_classification FROM films;"
90,Find films with 'Matrix' in the title using a substring search.,"SELECT * FROM films WHERE instr(film_name, 'Matrix') > 0;"
91,Retrieve the last inserted row ID.,SELECT last_insert_rowid() AS last_row_id;
92,List films with the length of the review.,"SELECT film_name, length(review) AS review_length FROM films;"
93,Fetch films with titles starting with 'The'.,SELECT * FROM films WHERE film_name like 'The%';
94,Display films with ratings rounded to two decimal places if they exceed 3.,"SELECT film_name, round(ifnull(rating, 0), 2) AS formatted_rating FROM films WHERE rating > 3;"
95,Retrieve films with leading whitespaces removed from the title.,SELECT ltrim(film_name) AS trimmed_title FROM films;
96,"Retrieve films with the review if available, otherwise display 'No review available'.","SELECT film_name, COALESCE(review, 'No review available') AS review_content FROM films;"
98,"Display films with the release year if available, otherwise show 'N/A'.","SELECT film_name, COALESCE(release_year, 'N/A') AS release_year FROM films;"
99,List films with either the rating or 'Not rated' if the rating is null.,"SELECT film_name, COALESCE(rating, 'Not rated') AS film_rating FROM films;"
109,Convert hexadecimal string '4D61726B' to its binary value.,SELECT unhex('4D61726B');
110,Convert hexadecimal string '4D61726B' to its binary value and specify the output length as 4.,"SELECT unhex('4D61726B', 4);"
111,Get the Unicode code point of the first character in the film_name column.,SELECT unicode(film_name) FROM films;
112,Estimate the likelihood of a condition being false.,SELECT unlikely(rating < 3) FROM films;
113,Convert the film_name column to uppercase.,SELECT upper(film_name) FROM films;
114,Generate a zero-filled blob of length 100.,SELECT zeroblob(100);
